time,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance
66.51998233795166,-0.010958241298794746,0.00825419928878546,0.9919205904006958,-0.12611813843250277,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.005260856356471778,0.004655869212001563,0.21026062965393066,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.1705817133188248,-0.07475674152374268,9.493710517883303,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.53998231887817,-0.01096079405397177,0.008210528641939163,0.991657316684723,-0.12817469239234924,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.009635092690587044,0.01238361280411482,0.21018612384796143,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.055706560611724854,0.7592791318893433,10.191960334777834,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.55998349189758,-0.010933756828308105,0.008129077963531019,0.9913879036903382,-0.13024865090847018,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.020836291834712032,0.016175951808691025,0.2121485471725464,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.2218434810638428,-0.038187544792890556,10.01321792602539,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.5799834728241,-0.010809299536049368,0.008081192150712013,0.9911144971847534,-0.132326677441597,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.00458136247470975,-0.04134327173233032,0.21356271207332614,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.1789902150630951,-0.09597190469503404,9.632177352905273,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.59998345375061,-0.010740415193140508,0.008068496361374855,0.990837574005127,-0.13439083099365234,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.006143748760223389,0.011818856000900269,0.2119027227163315,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.08369118720293046,0.47985693812370306,9.623674392700195,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.61998343467712,-0.01069790590554476,0.007991574704647064,0.990557372570038,-0.13645055890083313,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.028474628925323486,0.005561858881264926,0.21364766359329224,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.1138390302658083,0.6263284087181092,9.992794990539553,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.63998341560364,-0.010595449246466162,0.007920017465949059,0.9902756214141846,-0.13849079608917236,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.014096501283347608,-0.011840464547276497,0.21115022897720337,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.7550681233406068,-0.355305165052414,9.674153327941896,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.65998339653015,-0.010563289746642113,0.00787167064845562,0.9899876117706299,-0.140540212392807,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.004052372183650733,0.004074723459780216,0.2098374515771866,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.09961598366498949,0.9111025333404541,9.930980682373047,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.67998433113098,-0.010512934997677803,0.007746405899524689,0.9896966814994813,-0.14258550107479098,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.023399295285344127,0.0162907000631094,0.20971673727035522,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.5863690972328187,0.16955633461475375,9.856090545654297,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.6999843120575,-0.010403436608612539,0.007719335611909629,0.9894012212753296,-0.14462876319885254,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.010107458569109442,-0.013370813801884651,0.2091549783945084,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.6192439794540407,0.08294136077165605,10.09944248199463,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.71998429298401,-0.010330722667276861,0.007638517767190933,0.9891019463539125,-0.14667180180549622,[0. 0. 0. 0. 0. 0. 0. 0. 0.],1.5646221072529446e-05,-0.008168816566467285,0.20826831459999084,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.44165873527526855,0.05787307024002075,9.62733268737793,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.73998427391052,-0.010264582000672819,0.007562718354165554,0.9888011813163758,-0.1486966907978058,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.017407536506652832,0.013653189875185491,0.20830556750297546,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.0739265680313113,0.3465461730957031,10.000253677368164,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.75998425483704,-0.010193062014877798,0.007469481788575649,0.9885000586509706,-0.15069399774074557,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.03175586462020874,-0.010517239570617676,0.2068751007318497,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.0916142463684082,0.020830715075135234,9.90412712097168,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.77998542785645,-0.01008683629333973,0.007364049088209868,0.988198220729828,-0.152672752737999,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.018335880711674694,-0.01576244831085205,0.20241366326808932,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.3396181166172028,-0.3985932469367981,9.583563804626467,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.79998540878296,-0.009977200999855995,0.007265068590641022,0.9878925085067749,-0.154649093747139,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.001891702529974282,-0.0049203624948859215,0.20217522978782654,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.029927084222435955,0.34285247325897217,9.62354850769043,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.81998538970947,-0.0099351117387414,0.0070718158967793,0.9875829815864564,-0.1566253900527954,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.04048348218202591,0.01299009006470442,0.20392167568206787,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.4457375407218933,0.46857777237892156,9.868158340454102,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.83998537063599,-0.0098629891872406,0.006841206923127174,0.987269401550293,-0.15860442817211154,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.01812577247619629,0.00421479344367981,0.20483808219432834,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.6616005897521973,-0.1909708231687546,10.052091598510742,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.85998630523682,-0.009775779210031034,0.0065632215701043614,0.9869505763053895,-0.16059531271457675,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.03183551877737045,0.003988191019743682,0.20238333940505981,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.9326826930046083,-0.14756157994270325,9.71717929840088,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.87998628616333,-0.009692240506410599,0.006252838298678398,0.9866284132003784,-0.16257810592651367,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.025531653314828873,-0.010083616711199285,0.20063300430774691,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.6964842677116395,-0.020055130124092102,9.533528327941896,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.89998626708984,-0.009715405292809011,0.0059536537155508995,0.9863068461418153,-0.1645272970199585,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.027777254581451416,0.01655593700706959,0.2009950578212738,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.6787784099578857,0.12445060163736345,9.56307601928711,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.91998624801636,-0.009765908122062683,0.005660169292241336,0.9859877824783325,-0.16643659770488742,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.04741848260164261,0.02977028861641884,0.19842912256717685,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.6339048743247987,0.31260818243026733,9.743226051330568,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.93998622894287,-0.009723258204758169,0.005352417938411236,0.9856646656990052,-0.16835178434848788,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.04263967275619507,0.015171618200838568,0.19915476441383362,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.1289119720458984,0.23374363780021667,9.986977577209474,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.95997714996338,-0.00962880440056324,0.005033135879784823,0.9853432178497314,-0.17023980617523193,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.03848076239228249,-0.004146993160247803,0.19480213522911072,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.4440832138061523,-0.26745215058326727,9.727897644042969,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.97997832298279,-0.009571577422320844,0.00478231953456998,0.9850237369537354,-0.1720886677503586,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.03311634063720703,-0.01582652516663075,0.18549185991287231,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.25208154320716863,0.13885392248630526,9.777496337890625,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.9999783039093,-0.009520839899778366,0.0045552230440080175,0.9847104549407959,-0.17388038337230685,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.032579898834228516,-0.018425285816192627,0.18554703891277316,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.14811038970947266,-0.09097905457019806,9.6081018447876,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.01997828483582,-0.00945456326007843,0.004399986006319523,0.9844035506248475,-0.17561784386634827,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.02046674676239491,-0.007720292545855045,0.1798115819692612,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.12833358347415927,0.0789577141404152,9.64327621459961,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.03997826576233,-0.009355012327432632,0.004239882808178664,0.984104096889496,-0.17729665338993075,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.01795292086899281,-0.010065734386444092,0.17307773232460022,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.4142484664916992,-0.0562819242477417,9.644087791442873,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.05997824668884,-0.00923222303390503,0.0041905660182237625,0.9838110208511353,-0.17892284691333774,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0006973744602873921,-0.012484195642173292,0.16595646739006042,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.2837598919868469,0.33603540062904363,9.85645389556885,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.07997822761536,-0.009121532551944258,0.0041247038170695305,0.9835276007652284,-0.18048173189163208,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.007232279516756535,0.004821270704269409,0.16308058798313144,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.11412079632282257,0.258169949054718,9.864014625549318,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.09997916221619,-0.009053935296833517,0.004118652082979679,0.9832478761672974,-0.18200400471687317,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0008553268271498383,0.008238106966018677,0.15715439617633822,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.004407345317304134,0.7007605433464051,10.060407638549805,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.1199791431427,-0.008960735984146597,0.004103629384189845,0.9829732179641724,-0.1834850013256073,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0006034970865584911,0.005818158388137817,0.15519484877586365,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.0684521198272705,0.18538829684257507,10.070475578308107,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.13997912406921,-0.008837168104946615,0.004175127018243075,0.9827049970626831,-0.18492090702056885,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.01122951600700617,-0.009690223261713982,0.14425294101238254,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.5005583763122559,0.2395744025707245,10.271568298339844,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.1599793434143,-0.008690395392477514,0.004265138413757087,0.9824426770210267,-0.1863132864236832,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0070877387188375005,-0.016807021573185924,0.148116797208786,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.3256622254848481,-0.008473452180624008,10.140528678894045,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.17997932434082,-0.008576497435569763,0.004357291851192714,0.9821847081184388,-0.18767201900482178,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0003993512073066086,-0.014883281663060188,0.1413904279470444,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.5666288733482362,0.10321123152971269,9.827993392944336,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.19997906684875,-0.008505983278155327,0.0044301007874310025,0.9819314479827881,-0.1889946907758713,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.004686415661126376,-0.012691320851445198,0.13708993792533875,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.36882767081260687,0.16213738918304443,9.706106185913086,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.21998023986816,-0.008404063992202284,0.004529600497335196,0.9816830158233643,-0.19028374552726746,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0040628015995025635,-0.006145240273326636,0.13091936707496643,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.5597727894783021,0.3011190891265869,9.772783279418945,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.23998022079468,-0.008290106430649757,0.004641556181013584,0.9814402461051942,-0.19153387844562533,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0012159348698332908,-0.01959800906479359,0.12992694973945618,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.41736626625061035,0.40570405125617987,9.66534423828125,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.25998020172119,-0.008160358294844627,0.0047366474755108365,0.9812054634094238,-0.19273667037487033,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.008423627354204656,-0.025948885828256607,0.12419449537992479,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.8991418480873109,0.23966377973556519,9.606948852539062,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.2799801826477,-0.00804540142416954,0.004821206443011761,0.9809747338294984,-0.1939094811677933,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.005228817928582431,-0.013877453282475471,0.1203380674123764,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.3451504707336426,0.3262996375560761,9.773580551147461,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.29998016357422,-0.007897113449871542,0.004844376351684333,0.9807494878768921,-0.19505129754543307,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.001306086778640747,-0.012050569988787176,0.11723263561725616,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.4040782749652863,0.048882577568292625,9.599912643432617,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.31998109817505,-0.0077459472231566915,0.004883582703769207,0.980530083179474,-0.19615574181079867,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.017777087166905407,-0.01568943448364735,0.11213347315788269,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.007800472900271416,0.34794065356254583,9.775272369384766,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.33998107910156,-0.007592387497425079,0.004874499049037696,0.980318546295166,-0.19721591472625732,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.00883340835571289,-0.01755654998123646,0.11645333468914032,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.2631315588951111,0.25603744387626654,9.960359573364258,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.35998106002808,-0.00739662442356348,0.004847988486289978,0.9801163077354432,-0.19822640717029574,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.022912025451660156,-0.01177340839058161,0.10428207367658617,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.9044172167778016,0.517652153968811,9.984382629394531,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.37998104095459,-0.007228685077279807,0.004804404918104411,0.9799202680587769,-0.19920109212398532,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.010856986977159979,-0.0029206275939941406,0.10114685446023942,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.10559951514005662,0.2626129984855652,9.956201553344727,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.39998126029968,-0.006998734548687935,0.004728958476334811,0.9797357916831971,-0.2001156657934189,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.023457406088709835,-0.019231440499424938,0.09484216570854187,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.03156140446662903,0.13280034065246582,9.865912437438967,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.4199812412262,-0.006773684639483691,0.004690150264650584,0.9795693755149842,-0.20093929767608643,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.019340218976140026,-0.013168156147003174,0.08345619589090349,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.45504108071327215,0.5121671557426454,9.92917251586914,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.43998217582703,-0.006579529959708453,0.004625885747373104,0.9794195890426636,-0.20167507231235507,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.019992889836430553,-0.013841688632965088,0.07553324103355408,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.7518724203109741,0.3768789470195771,9.78212070465088,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.45998215675354,-0.006309856195002795,0.004612856078892947,0.9792848825454712,-0.20233696699142456,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.00839680526405573,-0.016988813877105713,0.0657893791794777,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.12237992882728577,0.12789677083492282,9.616383552551271,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.47998213768005,-0.006050383672118187,0.004536749795079231,0.9791735410690308,-0.2028855532407761,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.014568868093192579,-0.027616327628493312,0.05697832256555557,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.6767373681068422,0.0008462926489301027,9.467174530029297,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
67.49998211860657,-0.005746814887970687,0.0044581275433301926,0.9790805578231812,-0.20334409177303317,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.004823505878448486,-0.02017617039382458,0.04882141202688217,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.4705159962177277,0.7518664002418519,9.586867332458498,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
